Club,Age,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defending,Marking,Standing Tackle,Sliding Tackle,PAC,SHO,PAS,DRI,DEF,PHY,Age GK,Goalkeeping GK,GK Diving GK,GK Handling GK,GK Kicking GK,GK Positioning GK,GK Reflexes GK
Zenit St. Petersburg,24.485714285714284,306.0,62.4,55.22857142857143,63.08571428571429,69.31428571428572,55.97142857142857,318.62857142857143,70.4,62.714285714285715,51.31428571428572,62.371428571428574,71.82857142857142,355.9714285714286,72.88571428571429,74.6,70.02857142857142,71.2,67.25714285714285,329.45714285714286,66.97142857142858,67.17142857142858,68.82857142857142,67.28571428571429,59.2,307.77142857142854,66.54285714285714,58.08571428571429,63.17142857142857,62.57142857142857,57.4,69.71428571428571,172.05714285714285,57.0,58.97142857142857,56.08571428571429,73.74285714285715,58.97142857142857,64.34285714285714,70.68571428571428,58.4,67.6,33.0,394.0,77.0,80.0,78.0,79.0,80.0
Ferencváros,22.91176470588235,290.29411764705884,57.61764705882353,58.088235294117645,60.6764705882353,69.29411764705883,53.61764705882353,314.8529411764706,69.23529411764706,61.1764705882353,51.588235294117645,62.1764705882353,70.67647058823529,347.20588235294116,69.97058823529412,70.76470588235294,70.6470588235294,66.17647058823529,62.6470588235294,298.5882352941176,66.17647058823529,63.6764705882353,65.23529411764706,65.94117647058823,57.55882352941177,260.55882352941177,58.8235294117647,52.1764705882353,62.88235294117647,64.0,56.6764705882353,69.0,156.5,50.529411764705884,54.294117647058826,51.6764705882353,70.38235294117646,59.5,64.3529411764706,69.67647058823529,53.1764705882353,64.23529411764706,27.0,350.0,80.0,79.0,77.0,80.0,83.0
